Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
13,2-Butene ozonide,MYHLVTYWMZRDMZ-UHFFFAOYSA-N   ,MYHLVTYWMZRDMZ,15,104.05,347,347,0,30,2176,0,0,1.127716258,,high,475.3979017,0.419355063
16,"1,3,4-Hexatriene, 3-methoxy-",STCWNOWVXWSYAF-UHFFFAOYSA-N ,STCWNOWVXWSYAF,18,110.07,496,496,0.13,47,5360,0,0,1.102498126,,high,847.8726963,0.323175465
17,Succinic anhydride,RINCXYDBBGOEEQ-UHFFFAOYSA-N  ,RINCXYDBBGOEEQ,11,100.02,702,702,55.1,1,779,0,0,2.057448113,,high,521.4332404,0.573300733
18,"1,4-Dioxane-2,5-dione, 3,6-dimethyl-",JJTUDXZGHPGLLC-UHFFFAOYSA-N  ,JJTUDXZGHPGLLC,18,144.04,NA,NA,NA,NA,1892,0,0,1.187874946,,high,250.0448813,0.302564237
19,Propylene Carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N  ,RUOJZAUFBMNUDX,13,102.03,454,478,0.36,12,860,0,0,0.256029748,,high,677.4598493,0.261227745
20,Propylene oxide,GOOHAUXETOMSMM-UHFFFAOYSA-N ,GOOHAUXETOMSMM,10,58.04,628,628,8.83,2,518,0,0,0.401621983,,high,921.6422064,0.794253519
21,Trimethylene oxide,AHHWIHXENZJRFG-UHFFFAOYSA-N  ,AHHWIHXENZJRFG,10,58.04,335,335,1.21,3,915,0,0,1.471988059,,high,172.5205976,0.801835186
22,"1,4-Dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N ,RYHBNJHYFVUHQT,14,88.05,418,418,10.4,3,1583,0,0,1.291703275,,high,920.7095019,0.768207004
23,"7-Oxabicyclo[4.2.1]nona-2,4-dien-8-one",GFUHHAFPAPLHDR-UHFFFAOYSA-N ,GFUHHAFPAPLHDR,18,136.05,NA,NA,NA,NA,3732,0,0,1.656745325,,high,655.7422655,0.432520332
24,"1,4-Cyclohexanedione",DCZFGQYXRKMVFG-UHFFFAOYSA-N ,DCZFGQYXRKMVFG,16,112.05,740,740,52.9,1,2998,0,0,0.089430783,,high,971.0199572,0.856034975
25,Ethylene oxide,IAYPIBMASNFSPL-UHFFFAOYSA-N ,IAYPIBMASNFSPL,7,44.03,592,592,48.7,1,450,0,0,1.095000712,,high,906.019398,0.741550244
